user_id,session_intent,confidence,timestamp,channel,engagement_level,has_budget_constraint,has_time_constraint,has_knowledge_gap,urgency_level,expertise_level
user_001,category_research,0.85,2025-01-10T10:00:00,organic,high,false,false,true,low,intermediate
user_001,compare_options,0.90,2025-01-12T14:00:00,organic,very_high,false,false,false,low,intermediate
user_001,evaluate_fit,0.88,2025-01-14T16:00:00,email,high,false,true,false,medium,intermediate
user_001,ready_to_purchase,0.92,2025-01-15T18:00:00,direct,very_high,false,true,false,high,intermediate
user_002,category_research,0.82,2025-01-11T11:00:00,organic,high,false,false,true,low,intermediate
user_002,compare_options,0.87,2025-01-13T15:00:00,organic,very_high,false,false,false,low,intermediate
user_002,evaluate_fit,0.85,2025-01-15T17:00:00,email,high,false,false,false,medium,intermediate
user_002,ready_to_purchase,0.90,2025-01-16T19:00:00,direct,very_high,false,true,false,high,intermediate
user_003,browsing_inspiration,0.75,2025-01-15T12:00:00,social,medium,false,false,false,low,intermediate
user_003,ready_to_purchase,0.88,2025-01-15T12:15:00,social,medium,false,false,false,medium,intermediate
user_004,browsing_inspiration,0.78,2025-01-16T13:00:00,social,medium,false,false,false,low,intermediate
user_004,ready_to_purchase,0.85,2025-01-16T13:20:00,social,medium,false,false,false,low,intermediate
user_005,category_research,0.80,2025-01-05T10:00:00,organic,medium,true,false,true,low,novice
user_005,price_discovery,0.88,2025-01-07T15:00:00,organic,medium,true,false,false,low,novice
user_005,deal_seeking,0.92,2025-01-10T11:00:00,email,low,true,false,false,low,novice
user_005,deal_seeking,0.90,2025-01-15T09:00:00,email,low,true,false,false,low,novice
user_006,category_research,0.77,2025-01-06T11:00:00,organic,medium,true,false,true,low,novice
user_006,price_discovery,0.85,2025-01-08T16:00:00,organic,medium,true,false,false,low,novice
user_006,deal_seeking,0.90,2025-01-11T12:00:00,email,low,true,false,false,low,novice
user_006,deal_seeking,0.88,2025-01-16T10:00:00,email,low,true,false,false,low,novice
user_007,browsing_inspiration,0.72,2025-01-10T14:00:00,social,low,false,false,false,low,intermediate
user_007,gift_shopping,0.80,2025-01-12T15:00:00,social,medium,false,true,true,medium,intermediate
user_008,category_research,0.83,2025-01-11T10:30:00,organic,high,false,false,true,low,intermediate
user_008,compare_options,0.89,2025-01-13T14:30:00,organic,very_high,false,false,false,low,intermediate
user_008,evaluate_fit,0.86,2025-01-15T16:30:00,email,high,false,false,false,medium,intermediate
user_008,ready_to_purchase,0.91,2025-01-16T18:30:00,direct,very_high,false,true,false,high,intermediate
user_009,browsing_inspiration,0.76,2025-01-16T12:30:00,social,medium,false,false,false,low,intermediate
user_009,ready_to_purchase,0.87,2025-01-16T12:45:00,social,medium,false,false,false,medium,intermediate
user_010,category_research,0.79,2025-01-06T10:30:00,organic,medium,true,false,true,low,novice
user_010,price_discovery,0.86,2025-01-08T15:30:00,organic,medium,true,false,false,low,novice
user_010,deal_seeking,0.91,2025-01-11T11:30:00,email,low,true,false,false,low,novice
user_010,deal_seeking,0.89,2025-01-16T09:30:00,email,low,true,false,false,low,novice
user_011,category_research,0.84,2025-01-10T11:00:00,organic,high,false,false,true,low,intermediate
user_011,compare_options,0.88,2025-01-12T15:00:00,organic,very_high,false,false,false,low,intermediate
user_011,evaluate_fit,0.87,2025-01-14T17:00:00,email,high,false,true,false,medium,intermediate
user_011,ready_to_purchase,0.93,2025-01-15T19:00:00,direct,very_high,false,true,false,high,intermediate
user_012,browsing_inspiration,0.77,2025-01-15T13:00:00,social,medium,false,false,false,low,intermediate
user_012,ready_to_purchase,0.86,2025-01-15T13:15:00,social,medium,false,false,false,low,intermediate
user_013,category_research,0.78,2025-01-05T11:00:00,organic,medium,true,false,true,low,novice
user_013,price_discovery,0.87,2025-01-07T16:00:00,organic,medium,true,false,false,low,novice
user_013,deal_seeking,0.93,2025-01-10T12:00:00,email,low,true,false,false,low,novice
user_013,deal_seeking,0.91,2025-01-15T10:00:00,email,low,true,false,false,low,novice
user_014,browsing_inspiration,0.74,2025-01-11T15:00:00,social,low,false,false,false,low,intermediate
user_014,gift_shopping,0.82,2025-01-13T16:00:00,social,medium,false,true,true,medium,intermediate
user_015,category_research,0.86,2025-01-10T10:15:00,organic,high,false,false,true,low,intermediate
user_015,compare_options,0.91,2025-01-12T14:15:00,organic,very_high,false,false,false,low,intermediate
user_015,evaluate_fit,0.89,2025-01-14T16:15:00,email,high,false,false,false,medium,intermediate
user_015,ready_to_purchase,0.94,2025-01-15T18:15:00,direct,very_high,false,true,false,high,intermediate
user_016,browsing_inspiration,0.79,2025-01-16T12:45:00,social,medium,false,false,false,low,intermediate
user_016,ready_to_purchase,0.89,2025-01-16T13:00:00,social,medium,false,false,false,medium,intermediate
user_017,category_research,0.81,2025-01-06T10:45:00,organic,medium,true,false,true,low,novice
user_017,price_discovery,0.89,2025-01-08T15:45:00,organic,medium,true,false,false,low,novice
user_017,deal_seeking,0.94,2025-01-11T11:45:00,email,low,true,false,false,low,novice
user_017,deal_seeking,0.92,2025-01-16T09:45:00,email,low,true,false,false,low,novice
user_018,browsing_inspiration,0.73,2025-01-12T16:00:00,social,low,false,false,false,low,intermediate
user_018,gift_shopping,0.81,2025-01-14T17:00:00,social,medium,false,true,true,medium,intermediate
user_019,category_research,0.87,2025-01-10T11:15:00,organic,high,false,false,true,low,intermediate
user_019,compare_options,0.92,2025-01-12T15:15:00,organic,very_high,false,false,false,low,intermediate
user_019,evaluate_fit,0.90,2025-01-14T17:15:00,email,high,false,true,false,medium,intermediate
user_019,ready_to_purchase,0.95,2025-01-15T19:15:00,direct,very_high,false,true,false,high,intermediate
user_020,browsing_inspiration,0.80,2025-01-15T13:15:00,social,medium,false,false,false,low,intermediate
user_020,ready_to_purchase,0.90,2025-01-15T13:30:00,social,medium,false,false,false,low,intermediate
user_021,category_research,0.82,2025-01-05T11:15:00,organic,medium,true,false,true,low,novice
user_021,price_discovery,0.90,2025-01-07T16:15:00,organic,medium,true,false,false,low,novice
user_021,deal_seeking,0.95,2025-01-10T12:15:00,email,low,true,false,false,low,novice
user_021,deal_seeking,0.93,2025-01-15T10:15:00,email,low,true,false,false,low,novice
user_022,browsing_inspiration,0.71,2025-01-13T17:00:00,social,low,false,false,false,low,intermediate
user_022,gift_shopping,0.79,2025-01-15T18:00:00,social,medium,false,true,true,medium,intermediate
user_023,category_research,0.88,2025-01-10T10:30:00,organic,high,false,false,true,low,intermediate
user_023,compare_options,0.93,2025-01-12T14:30:00,organic,very_high,false,false,false,low,intermediate
user_023,evaluate_fit,0.91,2025-01-14T16:30:00,email,high,false,false,false,medium,intermediate
user_023,ready_to_purchase,0.96,2025-01-15T18:30:00,direct,very_high,false,true,false,high,intermediate
user_024,browsing_inspiration,0.81,2025-01-16T13:30:00,social,medium,false,false,false,low,intermediate
user_024,ready_to_purchase,0.91,2025-01-16T13:45:00,social,medium,false,false,false,medium,intermediate
user_025,category_research,0.83,2025-01-06T11:30:00,organic,medium,true,false,true,low,novice
user_025,price_discovery,0.91,2025-01-08T16:30:00,organic,medium,true,false,false,low,novice
user_025,deal_seeking,0.96,2025-01-11T12:30:00,email,low,true,false,false,low,novice
user_025,deal_seeking,0.94,2025-01-16T10:30:00,email,low,true,false,false,low,novice
user_026,browsing_inspiration,0.70,2025-01-14T18:00:00,social,low,false,false,false,low,intermediate
user_026,gift_shopping,0.78,2025-01-16T19:00:00,social,medium,false,true,true,medium,intermediate
user_027,category_research,0.89,2025-01-10T11:30:00,organic,high,false,false,true,low,intermediate
user_027,compare_options,0.94,2025-01-12T15:30:00,organic,very_high,false,false,false,low,intermediate
user_027,evaluate_fit,0.92,2025-01-14T17:30:00,email,high,false,true,false,medium,intermediate
user_027,ready_to_purchase,0.97,2025-01-15T19:30:00,direct,very_high,false,true,false,high,intermediate
user_028,browsing_inspiration,0.82,2025-01-15T13:45:00,social,medium,false,false,false,low,intermediate
user_028,ready_to_purchase,0.92,2025-01-15T14:00:00,social,medium,false,false,false,low,intermediate
user_029,category_research,0.84,2025-01-05T11:45:00,organic,medium,true,false,true,low,novice
user_029,price_discovery,0.92,2025-01-07T16:45:00,organic,medium,true,false,false,low,novice
user_029,deal_seeking,0.97,2025-01-10T12:45:00,email,low,true,false,false,low,novice
user_029,deal_seeking,0.95,2025-01-15T10:45:00,email,low,true,false,false,low,novice
user_030,browsing_inspiration,0.69,2025-01-15T19:00:00,social,low,false,false,false,low,intermediate
user_030,gift_shopping,0.77,2025-01-17T20:00:00,social,medium,false,true,true,medium,intermediate
user_031,support_seeking,0.75,2025-01-10T09:00:00,organic,medium,false,true,true,high,novice
user_032,browsing_inspiration,0.68,2025-01-11T10:00:00,social,low,false,false,false,low,beginner
user_032,category_research,0.70,2025-01-12T11:00:00,organic,medium,false,false,true,low,beginner
user_033,ready_to_purchase,0.95,2025-01-15T14:00:00,direct,very_high,false,true,false,high,expert
user_034,price_discovery,0.85,2025-01-08T12:00:00,organic,medium,true,false,false,medium,intermediate
user_034,compare_options,0.88,2025-01-10T13:00:00,organic,high,true,false,false,medium,intermediate
user_035,gift_shopping,0.80,2025-01-14T15:00:00,social,medium,false,true,true,high,intermediate
user_036,browsing_inspiration,0.65,2025-01-09T11:00:00,social,low,false,false,false,low,beginner
user_037,category_research,0.90,2025-01-10T10:00:00,organic,high,false,false,false,low,expert
user_037,evaluate_fit,0.93,2025-01-11T14:00:00,email,very_high,false,false,false,medium,expert
user_038,deal_seeking,0.88,2025-01-12T10:00:00,email,low,true,false,false,low,novice
user_039,support_seeking,0.78,2025-01-13T11:00:00,organic,medium,false,false,true,medium,novice
user_040,browsing_inspiration,0.67,2025-01-14T12:00:00,social,low,false,false,false,low,beginner
